"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.voiceoverguy.co.uk/dpd-predict-voice","Indexable","","2","","5","5","0","1.850","44","35","0","15","15","0"
"https://www.voiceoverguy.co.uk/seat-hidden-heroes-adrian","Indexable","","2","","10","10","0","3.690","44","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/cloud-voiceover","Indexable","","2","","6","6","0","2.210","44","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/pig-goes-pop-voiceover","Indexable","","2","","9","9","0","3.320","46","35","0","15","15","0"
"https://www.voiceoverguy.co.uk/hill-climb-racing-2-voiceover","Indexable","","2","","9","9","0","3.320","42","33","0","16","16","0"
"https://www.voiceoverguy.co.uk/voice-of-cheese-worm-in-worms-games","Indexable","","2","","6","6","0","2.210","44","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/minecraft-combat-voiceover","Indexable","","2","","9","8","0","2.950","45","36","0","15","15","0"
"https://www.voiceoverguy.co.uk/voiceover-character","Indexable","","2","","5","5","0","1.850","44","35","0","16","16","0"
"https://www.voiceoverguy.co.uk/tips-for-becoming-a-voiceover-actor-navigating-ai-challenges","Indexable","","2","","8","8","0","2.950","41","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/seat-hidden-heroes","Indexable","","2","","5","5","0","1.850","43","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/radiator-warehouse-rock-star-voiceover","Indexable","","2","","5","5","0","1.850","42","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/vintage-cash-cow-voiceover","Indexable","","2","","7","7","0","2.580","43","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/patrick-stewart-money-supermartket-voice","Indexable","","2","","14","13","0","4.800","45","37","0","14","14","0"
"https://www.voiceoverguy.co.uk/13-dead-end-drive-voiceover","Indexable","","2","","5","5","0","1.850","41","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/british-aqua-feeds-christmas-advert-patrick-stewart-voice","Indexable","","2","","4","4","0","1.480","47","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/nuby-commentator-voice","Indexable","","2","","5","5","0","1.850","43","36","0","15","15","0"
"https://www.voiceoverguy.co.uk/compare-my-wedding-voice","Indexable","","2","","6","6","0","2.210","40","33","0","16","16","0"
"https://www.voiceoverguy.co.uk/micropolitics-under-14-handball-team","Indexable","","2","","7","6","0","2.210","44","33","0","16","16","0"
"https://www.voiceoverguy.co.uk/playmobil-pirate-voice","Indexable","","2","","15","14","0","5.170","44","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/phoenixpb-explainer-video-voice","Indexable","","2","","4","4","0","1.480","43","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/character-voices-showreel","Indexable","","2","","4","4","0","1.480","45","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/on-air-chat-with-santa","Indexable","","2","","7","7","0","2.580","42","34","0","18","16","0"
"https://www.voiceoverguy.co.uk/logo-board-game-hovis-and-sailor-voice","Indexable","","2","","9","9","0","3.320","47","36","0","16","16","0"
"https://www.voiceoverguy.co.uk/batelco-wifi-voice","Indexable","","2","","12","12","0","4.430","44","34","0","16","16","0"
"https://www.voiceoverguy.co.uk/good-game-empire-trailer-voice","Indexable","","2","","9","9","0","3.320","44","35","0","15","15","0"
"https://www.voiceoverguy.co.uk/craig-cash-gogglebox-voiceover","Indexable","","2","","5","5","0","1.850","42","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/voice-coaching-by-richard-di-britannia","Indexable","","2","","6","6","0","2.210","41","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/lumote-mastermote-chronicles-voiceover","Indexable","","2","","7","7","0","2.580","44","34","0","15","15","0"
"https://www.voiceoverguy.co.uk/sick-bricks-advert-voiceover","Indexable","","2","","5","5","0","1.850","44","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/save-water","Indexable","","2","","9","8","0","2.950","42","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/bugs-in-kitchen-voice","Indexable","","2","","11","11","0","4.060","45","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/turtle-strike-voiceover","Indexable","","2","","6","6","0","2.210","46","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/english-voiceover","Indexable","","2","","4","4","0","1.480","49","36","0","14","14","0"
"https://www.voiceoverguy.co.uk/le-becks-natual-voiceover","Indexable","","2","","6","6","0","2.210","46","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/samsung-national-radio-commercial","Indexable","","2","","6","6","0","2.210","40","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/halloween-voiceover","Indexable","","2","","8","8","0","2.950","41","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/wren-kitchens-voiceover","Indexable","","2","","4","4","0","1.480","43","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/top-5-films-that-use-voice-over-narration-perfectly","Indexable","","2","","3","3","0","1.110","41","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/famous-voiceover-artists","Indexable","","2","","6","6","0","2.210","44","34","0","15","15","0"
"https://www.voiceoverguy.co.uk/minecraft-backpack-patrick-stewart-style-voiceover","Indexable","","2","","14","14","0","5.170","48","39","0","14","14","0"
"https://www.voiceoverguy.co.uk/nfl-cbs-sports-king-henry-voice-patrick-stewart","Indexable","","2","","11","11","0","4.060","45","34","0","16","16","0"
"https://www.voiceoverguy.co.uk/turkcell-red-riding-hood-film-voiceover","Indexable","","2","","5","5","0","1.850","46","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/boom-beach-hammerman-voice","Indexable","","2","","11","11","0","4.060","50","36","0","15","15","0"
"https://www.voiceoverguy.co.uk/professional-voice-over-vs-cheaper-alternative-voiceover","Indexable","","2","","6","6","0","2.210","40","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/g-fuel-golden-apple-pear","Indexable","","2","","7","7","0","2.580","45","33","0","16","16","0"
"https://www.voiceoverguy.co.uk/little-monster-media-movie-voice","Indexable","","2","","6","6","0","2.210","45","34","0","16","16","0"
"https://www.voiceoverguy.co.uk/voice-of-santa-guy-harris","Indexable","","2","","6","6","0","2.210","41","33","0","20","19","0"
"https://www.voiceoverguy.co.uk/articulate-game-voiceover","Indexable","","2","","7","6","0","2.210","44","35","0","15","15","0"
"https://www.voiceoverguy.co.uk/apple-voiceover","Indexable","","2","","6","6","0","2.210","48","36","0","14","14","0"
"https://www.voiceoverguy.co.uk/horlicks-promo-voice","Indexable","","2","","9","9","0","3.320","43","33","0","16","16","0"
"https://www.voiceoverguy.co.uk/ninja-warrior-uk-fitbit-sponsor-bumpers","Indexable","","2","","6","6","0","2.210","41","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/character-voices-song","Indexable","","2","","3","3","0","1.110","44","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/snickers-football-commentator-voice","Indexable","","2","","8","8","0","2.950","46","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/human-voice-over-vs-ai","Indexable","","2","","5","5","0","1.850","40","32","0","14","14","0"
"https://www.voiceoverguy.co.uk/turkish-airlines-football-commentator-voiceover","Indexable","","2","","8","8","0","2.950","47","35","0","15","15","0"
"https://www.voiceoverguy.co.uk/bank-sohar-explainer-voiceover","Indexable","","2","","6","6","0","2.210","44","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/renton-trainspotting-choose-life-voiceover","Indexable","","2","","6","5","0","1.850","41","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/bbk-travel-insurance-voiceover","Indexable","","2","","7","7","0","2.580","43","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/vegan-film-voiceover","Indexable","","2","","8","8","0","2.950","42","32","0","14","14","0"
"https://www.voiceoverguy.co.uk/kelloggs-origins-voiceover","Indexable","","2","","4","4","0","1.480","43","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/a-team-voice","Indexable","","2","","8","8","0","2.950","45","35","0","15","15","0"
"https://www.voiceoverguy.co.uk/ideal-heating-soft-male-voice","Indexable","","2","","5","5","0","1.850","45","35","0","14","14","0"
