"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://www.voiceoverguy.co.uk/pirate-voice","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.voiceoverguy.co.uk/pirate-voice","",""
"https://www.voiceoverguy.co.uk/_next/static/chunks/webpack-7819c331ba554855.js","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-clients-bbc-2.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-clients-igt-gaming-awards.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/_next/static/chunks/main-app-6689cc769ebfae61.js","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/game-trailer-voice","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.voiceoverguy.co.uk/game-trailer-voice","",""
"https://www.voiceoverguy.co.uk/assets/images/vox-2022.webp","image/webp","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/pathe-news-voice","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.voiceoverguy.co.uk/pathe-news-voice","",""
"https://www.voiceoverguy.co.uk/voiceover-studio-finder","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.voiceoverguy.co.uk/voiceover-studio-finder","",""
"https://www.voiceoverguy.co.uk/assets/images/vox-2011.webp","image/webp","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-clients-alton-towers.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-clients-cbeebies.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-clients-butlins.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/assets/images/voiceoverguy-home-commercial-voice.webp","image/webp","200","OK","1.1","Indexable","","","",""
